# Яндекс.Метрика, счётчик 45472341, «Страницы входа», 01.01.2024 — 31.12.2025 (последние два года старого сайта),
# точность 100 %, топ-110 из 1758 по визитам. Всего визитов: 149 036, отказы 38,04 %, 39 достижений избранных целей.
# Колонки: страница | визиты | посетители | отказы | глубина | время | достижения целей
# Строки /forum/?... со ставками, казино, «вебкамом», дипломами — это спам, которым был забит форум (см. отчёт).
/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/videokarta_gigabyte_geforce_rtx_3090_aorus_master_24g/ | 143 | 90 | 19,58% | 1,27 | 1м26c | 0
/catalog/fermy_dlya_mayninga/mayning_fermy_na_nvidia/mayning_ferma_na_videokartakh_nvidia_geforce_rtx_3060_ti/ | 141 | 141 | 4,26% | 2,91 | 54c | 0
/catalog/mayning_fermy/mayning_fermy_s_bystroy_okupaemostyu/ | 140 | 127 | 37,14% | 1,68 | 1м48c | 0
/catalog/videokarty/videokarty_nvidia/ | 139 | 137 | 17,27% | 2,50 | 1м16c | 0
/catalog/asic_maynery/whatsminer/whatsminer_m30s/?oid=28382 | 138 | 131 | 31,88% | 1,32 | 46c | 0
/catalog/asic_maynery/whatsminer/whatsminer_m30s_plus_plus/?oid=30809 | 138 | 87 | 23,19% | 1,73 | 2м28c | 0
/catalog/fermy_dlya_mayninga/mayning_fermy_na_nvidia/mayning_ferma_na_videokartakh_nvidia_geforce_rtx_3070/ | 136 | 136 | 3,68% | 3,01 | 1м | 0
/catalog/videokarty/filter/in_stock-is-y/apply/ | 126 | 124 | 26,98% | 2,02 | 47c | 0
/catalog/asic_maynery/jasminer/ | 124 | 70 | 16,13% | 1,58 | 1м | 0
/catalog/komplektuyushchie/materinskaya_plata_asrock_fatal1ty_b450_gaming_k4/ | 120 | 119 | 35,00% | 1,25 | 22c | 0
/basket/ | 118 | 115 | 25,42% | 1,91 | 1м55c | 0
/catalog/asic_maynery/whatsminer/whatsminer_m31s/?oid=22509 | 117 | 106 | 17,09% | 1,77 | 1м12c | 0
/catalog/asic_maynery/dragonmint_t1/ | 115 | 113 | 46,09% | 1,17 | 20c | 0
/company/vacancy/ | 114 | 92 | 20,18% | 2,55 | 1м59c | 0
/info/brands/whatsminer/ | 114 | 109 | 18,42% | 1,79 | 1м6c | 0
/catalog/fermy_dlya_mayninga/mayning_fermy_na_nvidia/mayning_ferma_na_8_videokartakh_nvidia_geforce_rtx_3080/ | 113 | 113 | 5,31% | 3,08 | 57c | 0
/catalog/asic_maynery/whatsminer/whatsminer_m31s_plus/ | 112 | 108 | 29,46% | 1,35 | 1м26c | 0
/catalog/asic_maynery/bitmain/bitmain_antminer_s9/ | 111 | 96 | 24,32% | 1,26 | 40c | 0
/catalog/ | 110 | 104 | 23,64% | 2,45 | 2м18c | 0
/catalog/asic_maynery/bitfury_b8_49_th_s/ | 108 | 105 | 30,56% | 1,56 | 1м35c | 0
/catalog/asic_maynery/bitmain/bitmain_antminer_s19xp/?oid=28675 | 108 | 55 | 25,93% | 1,29 | 1м8c | 0
