Название;Раздел;Цена, ₽;Наличие;Артикул;Архивирована;Адрес;Фото;Фото в архиве;Описание (знаков);Артикул:;Потребление;Значения хешрейта;Окупаемость;Доходность;Артикул для заказа;Объем памяти;Тип памяти;Артикул для заказа:;Доходность обновлена:;Графический процессор (Чип);Объем видеопамяти;Графический процессор;Алгоритм хеширования;?Сколько требуется ватт на 1 MH/s Энергоэффективность W / MH;Энергоэффективность W / MH;?Считается как цена оборудования / хешрейт Стоимость 1 MH/s в руб.;Стоимость 1 MH/s в руб.;Интерфейс памяти;Частота памяти;Максимальное разрешение;Выход HDMI;Видеовыходы;Количество ядер CUDA®;Частота процессора;Производитель;OpenGL;Рекомендуемая мощность БП;Поддержка SLI/CrossFire;Поддержка мониторов;Техпроцесс;Количество занимаемых слотов;Сообщение;Возможна покупка с НДС;Вес, кг;Размер, мм;Поддержка водяного охлаждения;? Сколько требуется ватт на 1 MH/s Энергоэффективность W / MH;? Считается как цена оборудования / хешрейт Стоимость 1 MH/s в руб.;Энергопотребление, W;Low Hash Rate (LHR);Производитель видеопроцессора (видеокарта);Интерфейс (видеокарта);За 30 дней;Гарантия, мес.;Артикул;Серия (видеокарта);Кодовое название графического процессора (видеокарта)
Клавиатура;Каталог / Комплектующие;414.0;OutOfStock;5198;2021-10-27;https://miningshop.ru/catalog/komplektuyushchie/klaviatura_defender_officemate_sm_820/;https://miningshop.ru/upload/iblock/25b/25bce90827c7f2f90aaa7f9cfda5ee46.jpg https://miningshop.ru/upload/iblock/ce6/ce697de487df81b6c0f476251f955936.jpg https://miningshop.ru/upload/iblock/514/514da19a26e7013a5dfe97d7fc1686c3.jpg https://miningshop.ru/upload/iblock/f18/f18efe4117eadada7ea421ace9b7a38b.jpg https://miningshop.ru/upload/iblock/bf2/bf2b6c8abaefee65b34bfc3d5908d285.jpg;mirror/upload/resize_cache/iblock/ce6/400_400_140cd750bba9870f18aada2478b24840a/ce697de487df81b6c0f476251f955936.jpg mirror/upload/resize_cache/iblock/514/400_400_140cd750bba9870f18aada2478b24840a/514da19a26e7013a5dfe97d7fc1686c3.jpg mirror/upload/resize_cache/iblock/f18/400_400_140cd750bba9870f18aada2478b24840a/f18efe4117eadada7ea421ace9b7a38b.jpg mirror/upload/resize_cache/iblock/bf2/400_400_140cd750bba9870f18aada2478b24840a/bf2b6c8abaefee65b34bfc3d5908d285.jpg;0;;;;;;;;;5198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кнопка питания (Металлическая с подсветкой);Каталог / Комплектующие;160.0;InStock;Цена;2025-04-17;https://miningshop.ru/catalog/komplektuyushchie/knopka_pitaniya_metallicheskaya_s_podsvetkoy/;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кнопка включения для мат.платы майнинг-версия;Каталог / Комплектующие;100.0;InStock;4591;2021-11-21;https://miningshop.ru/catalog/komplektuyushchie/knopka_vklyucheniya_dlya_mat_platy/;https://miningshop.ru/upload/resize_cache/webp/upload/iblock/a7e/oq5muzbvx36qp6qykxndknla6qa4uxpf.webp;mirror/upload/resize_cache/webp/upload/iblock/a7e/oq5muzbvx36qp6qykxndknla6qa4uxpf.webp;0;;;;;;;;;4591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кнопка включения;Каталог / Комплектующие;50.0;OutOfStock;4591;2023-06-26;https://miningshop.ru/catalog/komplektuyushchie/knopka_vklyucheniya_dlya_mat_platy_mayning_versiya/;https://miningshop.ru/upload/resize_cache/webp/upload/iblock/a7e/oq5muzbvx36qp6qykxndknla6qa4uxpf.webp;mirror/upload/resize_cache/webp/upload/iblock/a7e/oq5muzbvx36qp6qykxndknla6qa4uxpf.webp;0;4591;;;;;4591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кнопка включения красная 1,5 м;Каталог / Комплектующие;60.0;OutOfStock;Цена;2023-06-26;https://miningshop.ru/catalog/komplektuyushchie/knopka_vklyucheniya_krasnaya_1_5_m/;https://miningshop.ru/upload/iblock/d28/xtdg4tuhy91g5eet4kd1l4mzz3i3qve0/DSC00014.png https://miningshop.ru/upload/iblock/b30/qesejw2jqo80fhpbiux27lrmjioavgcw/DSC00013.png https://miningshop.ru/upload/iblock/e10/b9jxa0v7jrpuq02xcu6otr8ldurn2ec8/DSC00011.png;mirror/upload/resize_cache/iblock/b30/qesejw2jqo80fhpbiux27lrmjioavgcw/400_400_140cd750bba9870f18aada2478b24840a/DSC00013.png mirror/upload/resize_cache/iblock/e10/b9jxa0v7jrpuq02xcu6otr8ldurn2ec8/400_400_140cd750bba9870f18aada2478b24840a/DSC00011.png;0;;;;;;19965;;;;;;;;;;;;;;;;;;;;;;;;;;;;Нет;;;;;;;;;;;;;;
ASRock H110 PRO BTC+;Каталог / Комплектующие / Комплектующие для майнинг-фермы на 12 GPU Видеокарт / Материнская плата для майнинг-фермы на 12 GPU Видеокарт;16400.0;OutOfStock;5140;2021-10-27;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_12_gpu_videokart/materinskaya_plata_dlya_mayning_fermy_na_12_gpu_videokart/asrock_h110_pro_btc_socket_1151_intel_h110_2xddr4_2133_d_sub_1xpci_ex16_12xpci_ex1_4xsata3_1xm_2_8_c/;https://miningshop.ru/upload/iblock/28d/28da9ad15336d4849a21e36944defa9e.jpg https://miningshop.ru/upload/iblock/521/dbllv2w9dcsretd73lc175ommauoqj0z.png https://miningshop.ru/upload/iblock/865/m1iugmoaomt1ozt9deim9slsd4myrwx3.png https://miningshop.ru/upload/iblock/a98/ja1xzw8vx5vu8iauwol3mqdllyxfwp1r.png https://miningshop.ru/upload/iblock/ec2/dw7i99loxyotygio03b1ppdlevrs3vn9.png https://miningshop.ru/upload/iblock/704/w76kxx5bfiwujmqu65tfq4vkz8s19t13.png https://miningshop.ru/upload/iblock/750/ba4y16jelq0y4o6fklbpxrzs0ba9in0f.png;;2487;H110 PRO BTC+;;;;;5140;;;5140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ASUS B250 MINING EXPERT/CSM 19 видеокарт;Каталог / Комплектующие / Комплектующие для майнинг-фермы на 12 GPU Видеокарт / Материнская плата для майнинг-фермы на 12 GPU Видеокарт;7500.0;OutOfStock;5141;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_12_gpu_videokart/materinskaya_plata_dlya_mayning_fermy_na_12_gpu_videokart/asus_b250_mining_expert_csm_19_videokart/;https://miningshop.ru/upload/iblock/717/717131613922ff42604a710fe71dd9c1.jpg https://miningshop.ru/upload/iblock/247/24716dbcc0cf3727bd0cc4fafdb05a0b.jpg;;2634;B250 MINING EXPERT/CSM;;;;;5141;;;5141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esonic HM65-BTC-COMBO C2 плата для майнинга на 8+ GPU, 1xPCI-Ex16, 7xPCI-Ex1, with Celeron dual core onboard w/o LGA775 cooler, RTL {20};Каталог / Комплектующие / Комплектующие для майнинг-фермы на 12 GPU Видеокарт / Материнская плата для майнинг-фермы на 12 GPU Видеокарт;3360.0;OutOfStock;5142;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_12_gpu_videokart/materinskaya_plata_dlya_mayning_fermy_na_12_gpu_videokart/esonic_hm65_btc_combo_c2_plata_dlya_mayninga_na_8_gpu_1xpci_ex16_7xpci_ex1_with_celeron_dual_core_on/;https://miningshop.ru/upload/iblock/103/103682100394ded90d5cd2032b9b9f4f.jpg;;2585;HM65-BTC-COMBO WITH CELERON CPU;;;;;5142;;;5142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GIGABYTE GA-B250-FinTech, Socket 1151, Intel®B250, 4xDDR4-2133, D-SUB+DVI-D, 1xPCI-Ex16, 11xPCI-Ex1, 4xSATA3, 8 Ch Audio, GLan, (2+4)xUSB2.0, (4+2)xUSB3.0, COM, 1xPS/2, ATX, RTL {10};Каталог / Комплектующие / Комплектующие для майнинг-фермы на 12 GPU Видеокарт / Материнская плата для майнинг-фермы на 12 GPU Видеокарт;38200.0;OutOfStock;5139;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_12_gpu_videokart/materinskaya_plata_dlya_mayning_fermy_na_12_gpu_videokart/gigabyte_ga_b250_fintech_socket_1151_intel_b250_4xddr4_2133_d_sub_dvi_d_1xpci_ex16_11xpci_ex1_4xsata/;https://miningshop.ru/upload/iblock/9aa/9aa934a2edd533a04a90d2f9d921c0da.jpg https://miningshop.ru/upload/iblock/da1/da1f06da5b4a2a5d1a29fcf279a281e7.jpg;;2409;GA-B250-FinTech;;;;;5139;;;5139;;;;;;;;;;;;;;;;;GIGABYTE;;;;;;;;;;;;;;;;;;;;;;
MSI H310-F PRO, Socket 1151, Intel®H310, 2xDDR4-2666, DVI-D+HDMI, 1xPCI-Ex16, 12xPCI-Ex1, 4xSATA3, 8 Ch Audio, GLan, (4+2)xUSB2.0, (2+2)xUSB3.1, 1xPS/2, ATX, RTL {10};Каталог / Комплектующие / Комплектующие для майнинг-фермы на 12 GPU Видеокарт / Материнская плата для майнинг-фермы на 12 GPU Видеокарт;6840.0;OutOfStock;5175;2021-10-27;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_12_gpu_videokart/materinskaya_plata_dlya_mayning_fermy_na_12_gpu_videokart/msi_h310_f_pro_socket_1151_intel_h310_2xddr4_2666_dvi_d_hdmi_1xpci_ex16_12xpci_ex1_4xsata3_8_ch_audi/;https://miningshop.ru/upload/iblock/0f0/0f0880ff13c5f82ae9aa4188a9fcddaf.png https://miningshop.ru/upload/iblock/1cd/1cd77c5f3e8d22c1981bf70cc195ec73.png https://miningshop.ru/upload/iblock/7ac/7acbb0f1f572b6acef7c5d8cc2a9a42c.png https://miningshop.ru/upload/iblock/7c8/7c834461759e11353dfbb07171199249.png https://miningshop.ru/upload/iblock/468/468c4a8d0b887653f9cae4f6d4432d29.png;;2433;H310-F PRO;;;;;5175;;;5175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Блок питания R-senda SD-1060EPS 900W EPS Power Supply,90-240V AC Input;Каталог / Комплектующие / Комплектующие для майнинг-фермы на 4 GPU Видеокарты / Блоки питания для майнинг-фермы на 4 GPU видеокарты;7800.0;OutOfStock;5179;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_4_gpu_videokarty/blok_pitaniya_dlya_mayning_fermy_na_4_gpu_videokarty/blok_pitaniya_r_senda_sd_1060eps_900w_eps_power_supply_90_240v_ac_input/;https://miningshop.ru/upload/iblock/909/909e4d5f826a8f6f1defd2662a8a0a5f.jpg;;0;SD-1060EPS;;;;;5179;;;5179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Блок питания R-Senda SD-2400W-BTC-1 16AWG for ASIC overclock mode S9 18TH, 2400W Mining PSU all cabels 16AWG, высота 4 см, Connector:,6pin *10pcs +15 cm, Inputefficiency: 92% OEM {10};Каталог / Комплектующие / Комплектующие для майнинг-фермы на 4 GPU Видеокарты / Блоки питания для майнинг-фермы на 4 GPU видеокарты;10800.0;InStock;5155;2021-10-27;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_4_gpu_videokarty/blok_pitaniya_dlya_mayning_fermy_na_4_gpu_videokarty/blok_pitaniya_r_senda_sd_2400w_btc_1_16awg_for_asic_overclock_mode_s9_18th_2400w_mining_psu_all_cabe/;https://miningshop.ru/upload/iblock/add/add0765d9bf37dd95e0a84a7691b12c9.jpg https://miningshop.ru/upload/iblock/897/897d632b2fccf97a63c5db74ced52e6f.jpg;mirror/upload/resize_cache/iblock/897/400_400_140cd750bba9870f18aada2478b24840a/897d632b2fccf97a63c5db74ced52e6f.jpg;183;SD-2400W-BTC-1 16AWG;;;;;5155;;;5155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ASUS PRIME H270-PLUS S1151 RTL {10};Каталог / Комплектующие / Комплектующие для майнинг-фермы на 4 GPU Видеокарты / Материнская плата для майнинг-фермы на 4 GPU видеокарты;4140.0;OutOfStock;5136;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_4_gpu_videokarty/materinskaya_plata_dlya_mayning_fermy_na_4_gpu_videokarty/asus_prime_h270_plus_s1151_rtl_10/;https://miningshop.ru/upload/iblock/262/262f9ccb989c435c85ddc3ee081af61d.jpg https://miningshop.ru/upload/iblock/b05/b05f6ec5af76cd4b1c8916c32404e1fa.png;;2724;PRIME H270-PLUS;;;;;5136;;;5136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esonic H81-BTC-KING 1xPCI-Ex16, 5xPCI-Ex1, RTL;Каталог / Комплектующие / Комплектующие для майнинг-фермы на 4 GPU Видеокарты / Материнская плата для майнинг-фермы на 4 GPU видеокарты;11100.0;OutOfStock;5133;2021-10-27;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_4_gpu_videokarty/materinskaya_plata_dlya_mayning_fermy_na_4_gpu_videokarty/esonic_h81_btc_king_1xpci_ex16_5xpci_ex1_rtl/;https://miningshop.ru/upload/iblock/593/5932de7b2b069aeedfe9fc91ebb8dfe7.jpg https://miningshop.ru/upload/iblock/489/489b5c7ac78ab2bf3c1b17369a5ea009.jpg;;2077;H81-BTC-KING;;;;;5133;;;5133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gigabyte GA-H110-D3A, Socket 1151, Intel®H110, 2xDDR4-2133, D-SUB, 1xPCI-Ex16, 5xPCI-Ex1, 4xSATA3, 1xM.2, 8 Ch Audio, GLan, (2+4)xUSB2.0, (2+2)xUSB3.0, COM, LPT, 2xPS/2, ATX, RTL {10};Каталог / Комплектующие / Комплектующие для майнинг-фермы на 4 GPU Видеокарты / Материнская плата для майнинг-фермы на 4 GPU видеокарты;15200.0;OutOfStock;5132;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_4_gpu_videokarty/materinskaya_plata_dlya_mayning_fermy_na_4_gpu_videokarty/gigabyte_ga_h110_d3a_socket_1151_intel_h110_2xddr4_2133_d_sub_1xpci_ex16_5xpci_ex1_4xsata3_1xm_2_8_c/;https://miningshop.ru/upload/iblock/d63/d63b5350b8d2e559a5bc5b76f7af8908.jpg https://miningshop.ru/upload/iblock/7f8/7f8304a595d6ee6315b0bc082417c021.jpg;;2165;GA-H110-D3A;;;;;5132;;;5132;;;;;;;;;;;;;;;;;GIGABYTE;;;;;;;;;;;;;;;;;;;;;;
4GB AMD Radeon™ DDR4 2133 DIMM R7 Performance Series Black R744G2133U1S-UO Non-ECC, CL15, 1.2V, Bulk (182484);Каталог / Комплектующие / Комплектующие для майнинг-фермы на 4 GPU Видеокарты / Оперативная память для майнинг-фермы на 4 GPU видеокарты;1400.0;InStock;5146;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_4_gpu_videokarty/operativnaya_pamyat_dlya_mayning_fermy_na_4_gpu_videokarty/4gb_amd_radeon_ddr4_2133_dimm_r7_performance_series_black_r744g2133u1s_uo_non_ecc_cl15_1_2v_bulk_182/;https://miningshop.ru/upload/iblock/607/60724e5bfba5d39f2278a9ad15647cef.jpg https://miningshop.ru/upload/iblock/ee9/ee9eda82633cd3c9e605281559f2bd62.jpg;mirror/upload/resize_cache/iblock/ee9/400_400_140cd750bba9870f18aada2478b24840a/ee9eda82633cd3c9e605281559f2bd62.jpg;109;R744G2133U1S-UO;;;;;5146;;;5146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4GB AMD Radeon™ DDR4 2400 DIMM R7 Performance Series Black R744G2400U1S-UO Non-ECC, CL16, 1.2V, Bulk (182507);Каталог / Комплектующие / Комплектующие для майнинг-фермы на 4 GPU Видеокарты / Оперативная память для майнинг-фермы на 4 GPU видеокарты;3000.0;InStock;5145;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_4_gpu_videokarty/operativnaya_pamyat_dlya_mayning_fermy_na_4_gpu_videokarty/4gb_amd_radeon_ddr4_2400_dimm_r7_performance_series_black_r744g2400u1s_uo_non_ecc_cl16_1_2v_bulk_182/;https://miningshop.ru/upload/iblock/442/4421103c9c19879214a2d15e43552daa.jpg https://miningshop.ru/upload/iblock/701/7015ca994d8ab3e5e078121fb8ac757d.jpg;mirror/upload/resize_cache/iblock/701/400_400_140cd750bba9870f18aada2478b24840a/7015ca994d8ab3e5e078121fb8ac757d.jpg;109;R744G2400U1S-UO;;;;;5145;;;5145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4GB Kingston DDR4 2400 DIMM KVR24N17S6/4 Non-ECC, CL17, 1.2V, 1Rx16, Retail {25} (273915);Каталог / Комплектующие / Комплектующие для майнинг-фермы на 4 GPU Видеокарты / Оперативная память для майнинг-фермы на 4 GPU видеокарты;2300.0;OutOfStock;5148;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_4_gpu_videokarty/operativnaya_pamyat_dlya_mayning_fermy_na_4_gpu_videokarty/4gb_kingston_ddr4_2400_dimm_kvr24n17s6_4_non_ecc_cl17_1_2v_1rx16_retail_25_273915/;https://miningshop.ru/upload/iblock/064/064b35d2e1b7be7994adf27c53abf174.jpg;;89;KVR24N17S6/4;;;;;5148;;;5148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4GB Kingston DDR4 3200 DIMM ValueRAM KVR32N22S6/4 CL22, 1.2V, 512M x 16-bit , RTL (296075);Каталог / Комплектующие / Комплектующие для майнинг-фермы на 4 GPU Видеокарты / Оперативная память для майнинг-фермы на 4 GPU видеокарты;2200.0;InStock;5149;2021-10-27;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_4_gpu_videokarty/operativnaya_pamyat_dlya_mayning_fermy_na_4_gpu_videokarty/4gb_kingston_ddr4_3200_dimm_valueram_kvr32n22s6_4_cl22_1_2v_512m_x_16_bit_rtl_296075/;https://miningshop.ru/upload/iblock/234/23475a72e232c07e92bf5636bdaffe54.jpg;;90;KVR32N22S6/4;;;;;5149;;;5149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intel G3260 Dual-Core S1150 3.3GHz, 3Mb, Intel HD Graphics OEM {21} PULL;Каталог / Комплектующие / Комплектующие для майнинг-фермы на 4 GPU Видеокарты / Процессоры для майнинг-фермы на 4 GPU видеокарты;5800.0;InStock;5159;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_4_gpu_videokarty/protsessory_dlya_mayning_fermy_na_4_gpu_videokarty/intel_g3260_dual_core_s1150_3_3ghz_3mb_intel_hd_graphics_oem_21_pull/;https://miningshop.ru/upload/iblock/838/8381b9f99a2ff8115d89135cbb0f7921.jpg;;0;CM8064601482506 PULL;;;;;5159;;;5159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intel G3900 Celeron S1151 2.8GHz, 2Mb,OEM;Каталог / Комплектующие / Комплектующие для майнинг-фермы на 4 GPU Видеокарты / Процессоры для майнинг-фермы на 4 GPU видеокарты;7200.0;InStock;5131;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_4_gpu_videokarty/protsessory_dlya_mayning_fermy_na_4_gpu_videokarty/intel_g3900_celeron_s1151_2_8ghz_2mb_oem/;https://miningshop.ru/upload/iblock/9e7/9e7ba81c34ba1f81e278478a159e8b90.jpg;;0;CM8066201928610;;;;;5131;;;5131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intel G4560 Pentium S1151 3.5GHz, 3Mb, HD Graphics610 , OEM {21};Каталог / Комплектующие / Комплектующие для майнинг-фермы на 4 GPU Видеокарты / Процессоры для майнинг-фермы на 4 GPU видеокарты;7100.0;OutOfStock;5135;2021-10-27;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_4_gpu_videokarty/protsessory_dlya_mayning_fermy_na_4_gpu_videokarty/intel_g4560_pentium_s1151_3_5ghz_3mb_hd_graphics610_oem_21/;https://miningshop.ru/upload/iblock/2df/2dff48a61a9a4ca82a559c0141cb80f3.jpg;;0;CM8067702867064;;;;;5135;;;5135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intel G4930 Celeron S1151 3.2GHz 2Mb tray;Каталог / Комплектующие / Комплектующие для майнинг-фермы на 4 GPU Видеокарты / Процессоры для майнинг-фермы на 4 GPU видеокарты;6900.0;OutOfStock;5130;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_4_gpu_videokarty/protsessory_dlya_mayning_fermy_na_4_gpu_videokarty/intel_g4930_celeron_s1151_3_2ghz_2mb_tray/;https://miningshop.ru/upload/iblock/0d9/0d9b6f114bb1c2d1f40e667e4c75f600.jpg;;0;CM8068403378114;;;;;5130;;;5130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intel G5420 Pentium S1151 3.8GHz, 4Mb, ОЕМ;Каталог / Комплектующие / Комплектующие для майнинг-фермы на 4 GPU Видеокарты / Процессоры для майнинг-фермы на 4 GPU видеокарты;9500.0;InStock;5134;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_4_gpu_videokarty/protsessory_dlya_mayning_fermy_na_4_gpu_videokarty/intel_g5420_pentium_s1151_3_8ghz_4mb_oem/;https://miningshop.ru/upload/iblock/1a8/1a81a8ee079b3b403cfd630e9b1bd004.jpg;;0;CM8068403360113;;;;;5134;;;5134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Блок питания New model R-Senda SD-1800W 16AWG, 1800W Mining PSU all cabels 16AWG, 8pin(4+4pin)*1pc, 24pin*1pc, 6+2pin *12pcs +15 cm, sata*8pcs, molex*6pcs, Efficiency:86% RTL {6};Каталог / Комплектующие / Комплектующие для майнинг-фермы на 6 GPU Видеокарт / Блок питания для майнинг-фермы на 6 GPU Видеокарт;5820.0;OutOfStock;5150;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_6_gpu_videokart/blok_pitaniya_dlya_mayning_fermy_na_6_gpu_videokart/blok_pitaniya_new_model_r_senda_sd_1800w_16awg_1800w_mining_psu_all_cabels_16awg_8pin_4_4pin_1pc_24p/;https://miningshop.ru/upload/iblock/bf6/bf68f597f5ed04c25f8a95a0996b58a5.jpg;;178;New SD-1800W 16AWG;;;;;5150;;;5150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Блок питания New model R-Senda SD-2000W 16AWG 2000W Mining PSU all cables 16AWG (Connector:8pin(4+4pin) *1pc,24pin*1 pc ,6+2pin *12pcs +15 cm,sata*8pcs,Molex*6pcs) 230V AC Inputefficiency:86% , Brown Box {6};Каталог / Комплектующие / Комплектующие для майнинг-фермы на 6 GPU Видеокарт / Блок питания для майнинг-фермы на 6 GPU Видеокарт;6000.0;OutOfStock;5151;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_6_gpu_videokart/blok_pitaniya_dlya_mayning_fermy_na_6_gpu_videokart/blok_pitaniya_new_model_r_senda_sd_2000w_16awg_2000w_mining_psu_all_cables_16awg_connector_8pin_4_4p/;https://miningshop.ru/upload/iblock/c39/c399d5b07c2b2980b50e9e914fcfab71.jpg;;207;New SD-2000W 16AWG;;;;;5151;;;5151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Блок Питания R-Senda SD-1600W-1, 1600W Mining PSU, 8pin(4+4pin)*1pc, 24pin*1pc, 6+2pin*12pcs, sata*8pcs, molex*6pcs, Efficiency:90% , White box {6};Каталог / Комплектующие / Комплектующие для майнинг-фермы на 6 GPU Видеокарт / Блок питания для майнинг-фермы на 6 GPU Видеокарт;5340.0;OutOfStock;5153;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_6_gpu_videokart/blok_pitaniya_dlya_mayning_fermy_na_6_gpu_videokart/blok_pitaniya_r_senda_sd_1600w_1_1600w_mining_psu_8pin_4_4pin_1pc_24pin_1pc_6_2pin_12pcs_sata_8pcs_m/;https://miningshop.ru/upload/iblock/bbe/bbee2c293dc410b1a7d69920da8c144d.jpg;;147;SD-1600W-1;;;;;5153;;;5153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Блок Питания R-Senda SD-2000W 2000W Mining PSU (Connector:8pin(4+4pin) *1pc,24pin*1 pc ,6+2pin *12pcs,sata*8pcs,Molex*6pcs) 230V AC Inputefficiency:86% , Brown Box {6};Каталог / Комплектующие / Комплектующие для майнинг-фермы на 6 GPU Видеокарт / Блок питания для майнинг-фермы на 6 GPU Видеокарт;21100.0;InStock;5152;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_6_gpu_videokart/blok_pitaniya_dlya_mayning_fermy_na_6_gpu_videokart/blok_pitaniya_r_senda_sd_2000w_2000w_mining_psu_connector_8pin_4_4pin_1pc_24pin_1_pc_6_2pin_12pcs_sa/;https://miningshop.ru/upload/iblock/3d5/3d5cb21bca8d60a30b4a61291343c756.jpg;;167;SD-2000W;;;;;5152;;;5152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Блок Питания R-Senda SD-2400W-BTC 16AWG for ASIC overclock mode S9 18TH, 2400W Mining PSU all cabels 16AWG, высота 8 см, Connector:,6pin *10pcs +15 cm, Inputefficiency: 92% OEM {6};Каталог / Комплектующие / Комплектующие для майнинг-фермы на 6 GPU Видеокарт / Блок питания для майнинг-фермы на 6 GPU Видеокарт;5800.0;InStock;SD-2400W-BTC;2020-11-24;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_6_gpu_videokart/blok_pitaniya_dlya_mayning_fermy_na_6_gpu_videokart/blok_pitaniya_r_senda_sd_2400w_btc_16awg_for_asic_overclock_mode_s9_18th_2400w_mining_psu_all_cabels/;https://miningshop.ru/upload/iblock/68f/68f82e900d6ca7b04a6484fa818f39dc.png;;181;SD-2400W-BTC 16AWG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;
Блок Питания R-Senda SD-960EPS 800W EPS Power Supply,90-240V AC Input RTL {6};Каталог / Комплектующие / Комплектующие для майнинг-фермы на 6 GPU Видеокарт / Блок питания для майнинг-фермы на 6 GPU Видеокарт;6200.0;OutOfStock;5158;2021-10-27;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_6_gpu_videokart/blok_pitaniya_dlya_mayning_fermy_na_6_gpu_videokart/blok_pitaniya_r_senda_sd_960eps_800w_eps_power_supply_90_240v_ac_input_rtl_6/;https://miningshop.ru/upload/iblock/4a7/4a7946518bec0a78237dbf09b825d149.jpg;;0;SD-960EPS;;;;;5158;;;5158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
